Date,Confirmatory Lab Percent Positive (Daily),Confirmatory Lab Total Positive (Daily),Confirmatory Lab Total Tested (Daily),Confirmatory Lab 7 Day Percent Positive,Presumptive Lab Percent Positive (Daily),Presumptive Lab Total Positive (Daily),Presumptive Lab Total Tested (Daily),Presumptive Lab 7 Day Percent Positive,Confirmatory and Presumptive Lab Total Positive (Daily),Confirmatory and Presumptive Lab Total Tested (Daily),Confirmatory and Presumptive Lab Percent Positive (Daily),Confirmatory and Presumptive Lab 7 Day Percent Positive
11/7/2020,0.1,5275,52888,0.094,0.1,285,2838,0.044,5560,55726,0.1,0.086
11/6/2020,0.097,6053,62446,0.089,0.04,516,12782,0.042,6569,75228,0.087,0.082
11/5/2020,0.1,5900,59084,0.083,0.039,481,12178,0.041,6381,71262,0.09,0.077
11/4/2020,0.088,4727,53560,0.078,0.042,387,9206,0.04,5114,62766,0.081,0.073
11/3/2020,0.092,4651,50630,0.076,0.041,430,10469,0.038,5081,61099,0.083,0.07
11/2/2020,0.088,3539,39997,0.072,0.036,432,12125,0.036,3971,52122,0.076,0.067
11/1/2020,0.084,2588,30860,0.07,0.102,180,1772,0.034,2768,32632,0.085,0.065
10/31/2020,0.064,2930,45796,0.067,0.057,157,2736,0.033,3087,48532,0.064,0.063
10/30/2020,0.066,3820,57714,0.067,0.03,279,9166,0.033,4099,66880,0.061,0.062
10/29/2020,0.071,4025,56362,0.065,0.034,295,8694,0.034,4320,65056,0.066,0.061
10/28/2020,0.07,3578,51199,0.062,0.033,295,8897,0.033,3873,60096,0.064,0.059
10/27/2020,0.068,3452,50445,0.06,0.026,250,9564,0.031,3702,60009,0.062,0.057
10/26/2020,0.069,2180,31585,0.059,0.028,233,8365,0.031,2413,39950,0.06,0.056
10/25/2020,0.062,2218,35875,0.057,0.087,127,1463,0.033,2345,37338,0.063,0.054
10/24/2020,0.057,2459,43445,0.055,0.059,137,2323,0.031,2596,45768,0.057,0.053
10/23/2020,0.057,2899,50746,0.054,0.03,144,4810,0.03,3043,55556,0.055,0.051
10/22/2020,0.054,2769,51135,0.052,0.03,188,6341,0.029,2957,57476,0.051,0.05
10/21/2020,0.056,2676,48029,0.051,0.025,176,7172,0.028,2852,55201,0.052,0.048
10/20/2020,0.061,2591,42824,0.05,0.024,165,6815,0.029,2756,49639,0.056,0.048
10/19/2020,0.052,1621,31312,0.049,0.035,227,6547,N/A,1848,37859,0.049,N/A
10/18/2020,0.049,1551,31618,0.049,0.038,50,1306,N/A,1601,32924,0.049,N/A
10/17/2020,0.044,2055,46189,0.048,0.056,72,1289,N/A,2127,47478,0.045,N/A
10/16/2020,0.048,2144,44552,0.047,0.022,110,5088,N/A,2254,49640,0.045,N/A
10/15/2020,0.046,2327,50335,0.045,0.026,116,4438,N/A,2443,54773,0.045,N/A
10/14/2020,0.05,2337,46626,0.044,0.026,108,4224,N/A,2445,50850,0.048,N/A
10/13/2020,0.054,1809,33629,0.042,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10/12/2020,0.055,1420,26054,0.04,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10/11/2020,0.039,1405,35866,0.038,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10/10/2020,0.038,1421,37490,0.037,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10/9/2020,0.037,1645,44448,0.036,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10/8/2020,0.039,1790,45607,0.035,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10/7/2020,0.039,1759,45632,0.034,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10/6/2020,0.04,1337,33622,0.033,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10/5/2020,0.037,998,27075,0.033,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10/4/2020,0.03,1001,33059,0.032,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10/3/2020,0.031,1101,35131,0.032,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10/2/2020,0.03,1257,42207,0.032,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10/1/2020,0.031,1421,45644,0.032,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
9/30/2020,0.034,1238,36941,0.032,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
9/29/2020,0.04,1332,33164,0.031,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
9/28/2020,0.03,800,26896,0.029,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
9/27/2020,0.029,913,31646,0.029,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
9/26/2020,0.029,1042,35915,0.028,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
9/25/2020,0.029,1117,38940,0.028,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
9/24/2020,0.031,1246,40392,0.027,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
9/23/2020,0.027,1002,36939,0.027,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
9/22/2020,0.029,737,25184,0.028,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
9/21/2020,0.026,622,23647,0.028,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
9/20/2020,0.024,725,29733,0.028,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
9/19/2020,0.028,934,33604,0.029,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
9/18/2020,0.025,1006,39975,0.029,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
9/17/2020,0.028,1005,36477,0.031,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
9/16/2020,0.034,1306,38464,0.033,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
9/15/2020,0.03,861,28838,0.033,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
9/14/2020,0.025,718,28594,0.035,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
9/13/2020,0.031,974,31188,0.036,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
9/12/2020,0.032,1096,33943,0.036,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
9/11/2020,0.034,1080,31473,0.037,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
9/10/2020,0.042,1556,36667,0.039,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
9/9/2020,0.037,1126,30601,0.04,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
9/8/2020,0.044,845,19375,0.042,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
9/7/2020,0.033,593,17953,0.042,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
9/6/2020,0.03,698,23049,0.043,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
9/5/2020,0.04,969,24209,0.044,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
9/4/2020,0.043,1193,27925,0.043,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
9/3/2020,0.047,1455,30812,0.044,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
9/2/2020,0.053,1586,29822,0.044,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
9/1/2020,0.043,1183,27820,0.043,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
8/31/2020,0.038,858,22473,0.044,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
8/30/2020,0.043,966,22310,0.044,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
8/29/2020,0.036,1110,31038,0.043,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
8/28/2020,0.045,1383,30918,0.044,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
8/27/2020,0.048,1617,33378,0.043,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
8/26/2020,0.048,1514,31501,0.042,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
8/25/2020,0.049,1275,26116,0.041,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
8/24/2020,0.036,786,21602,0.04,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
8/23/2020,0.038,902,23980,0.04,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
8/22/2020,0.037,1004,27335,0.04,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
8/21/2020,0.039,1036,26380,0.04,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
8/20/2020,0.046,1382,30053,0.041,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
8/19/2020,0.043,1219,28033,0.041,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
8/18/2020,0.038,1067,27962,0.042,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
8/17/2020,0.034,693,20113,0.045,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
8/16/2020,0.038,704,18384,0.046,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
8/15/2020,0.037,812,21747,0.047,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
8/14/2020,0.045,1181,26190,0.048,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
8/13/2020,0.049,1227,24845,0.052,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
8/12/2020,0.046,1276,27807,0.052,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
8/11/2020,0.057,1502,26356,0.053,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
8/10/2020,0.046,919,20106,0.053,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
8/9/2020,0.045,808,18096,0.054,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
8/8/2020,0.048,1037,21562,0.055,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
8/7/2020,0.066,1834,27694,0.056,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
8/6/2020,0.054,1330,24407,0.054,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
8/5/2020,0.05,1223,24446,0.054,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
8/4/2020,0.058,1367,23576,0.055,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
8/3/2020,0.048,929,19307,0.056,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
8/2/2020,0.059,995,16946,0.057,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
8/1/2020,0.054,1161,21507,0.056,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
7/31/2020,0.052,1403,26834,0.057,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
7/30/2020,0.057,1528,26788,0.058,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
7/29/2020,0.059,1404,23915,0.06,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
7/28/2020,0.06,1676,27770,0.06,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
7/27/2020,0.056,1286,23154,0.061,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
7/26/2020,0.053,1067,20080,0.061,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
7/25/2020,0.061,1253,20587,0.062,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
7/24/2020,0.06,1569,26048,0.062,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
7/23/2020,0.067,1893,28072,0.064,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
7/22/2020,0.061,1483,24147,0.064,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
7/21/2020,0.064,1562,24289,0.063,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
7/20/2020,0.059,1347,22747,0.063,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
7/19/2020,0.059,1104,18583,0.063,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
7/18/2020,0.064,1424,22394,0.063,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
7/17/2020,0.067,1770,26424,0.064,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
7/16/2020,0.071,1707,24197,0.064,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
7/15/2020,0.059,1728,29252,0.064,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
7/14/2020,0.064,1852,28730,0.065,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
7/13/2020,0.056,1144,20485,0.065,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
7/12/2020,0.062,1083,17336,0.064,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
7/11/2020,0.066,1439,21717,0.063,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
7/10/2020,0.067,1714,25595,0.062,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
7/9/2020,0.07,1734,24828,0.061,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
7/8/2020,0.067,1638,24289,0.059,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
7/7/2020,0.065,1403,21687,0.057,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
7/6/2020,0.048,937,19381,0.056,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
7/5/2020,0.051,796,15591,0.057,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
7/4/2020,0.061,815,13371,0.057,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
7/3/2020,0.056,1252,22480,0.055,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
7/2/2020,0.061,1354,22228,0.054,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
7/1/2020,0.059,1294,22014,0.053,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
6/30/2020,0.057,1251,22030,0.052,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
6/29/2020,0.053,976,18575,0.05,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
6/28/2020,0.05,660,13328,0.05,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
6/27/2020,0.046,812,17764,0.049,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
6/26/2020,0.05,1051,21020,0.049,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
6/25/2020,0.053,1094,20752,0.048,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
6/24/2020,0.052,1115,21387,0.047,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
6/23/2020,0.048,883,18348,0.045,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
6/22/2020,0.046,536,11533,0.045,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
6/21/2020,0.043,490,11491,0.045,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
6/20/2020,0.046,684,14800,0.044,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
6/19/2020,0.045,664,14756,0.043,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
6/18/2020,0.042,616,14549,0.042,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
6/17/2020,0.045,712,15706,0.043,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
6/16/2020,0.047,775,16653,0.042,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
6/15/2020,0.046,493,10724,0.04,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
6/14/2020,0.036,335,9326,0.038,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
6/13/2020,0.037,407,10943,0.038,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
6/12/2020,0.039,490,12568,0.039,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
6/11/2020,0.045,535,11870,0.039,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
6/10/2020,0.039,504,13033,0.039,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
6/9/2020,0.038,507,13184,0.041,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
6/8/2020,0.03,300,9978,0.042,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
6/7/2020,0.035,292,8438,0.044,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
6/6/2020,0.044,483,11090,0.045,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
6/5/2020,0.039,431,11097,0.045,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
6/4/2020,0.046,614,13240,0.048,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
6/3/2020,0.05,623,12406,0.049,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
6/2/2020,0.046,584,12788,0.05,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
6/1/2020,0.042,436,10391,0.051,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
5/31/2020,0.047,417,8830,0.054,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
5/30/2020,0.044,491,11130,0.056,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
5/29/2020,0.057,694,12259,0.059,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
5/28/2020,0.057,666,11784,0.061,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
5/27/2020,0.055,668,12092,0.063,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
5/26/2020,0.056,489,8782,0.066,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
5/25/2020,0.064,488,7620,0.067,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
5/24/2020,0.06,512,8497,0.066,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
5/23/2020,0.069,620,8981,0.065,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
5/22/2020,0.065,750,11535,0.064,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
5/21/2020,0.07,697,9983,0.064,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
5/20/2020,0.076,877,11465,0.063,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
5/19/2020,0.061,704,11572,0.06,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
5/18/2020,0.055,516,9305,0.059,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
5/17/2020,0.058,439,7523,0.06,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
5/16/2020,0.057,566,9922,0.061,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
5/15/2020,0.063,699,11056,0.062,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
5/14/2020,0.065,685,10567,0.063,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
5/13/2020,0.057,685,12083,0.067,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
5/12/2020,0.056,560,10046,0.07,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
5/11/2020,0.066,516,7783,0.074,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
5/10/2020,0.063,425,6775,0.074,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
5/9/2020,0.069,601,8744,0.078,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
5/8/2020,0.07,648,9202,0.082,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
5/7/2020,0.088,867,9858,0.084,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
5/6/2020,0.075,662,8856,0.088,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
5/5/2020,0.079,691,8707,0.094,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
5/4/2020,0.072,489,6820,0.099,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
5/3/2020,0.095,539,5697,0.104,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
5/2/2020,0.098,680,6941,0.106,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
5/1/2020,0.087,564,6520,0.109,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4/30/2020,0.113,831,7350,0.112,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4/29/2020,0.12,720,6003,0.109,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4/28/2020,0.111,596,5391,0.11,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4/27/2020,0.106,541,5097,0.112,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4/26/2020,0.115,405,3519,0.124,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4/25/2020,0.117,493,4197,0.153,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4/24/2020,0.1,517,5189,0.183,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4/23/2020,0.099,547,5503,0.205,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4/22/2020,0.129,633,4924,0.222,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4/21/2020,0.127,502,3966,0.231,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4/20/2020,0.199,734,3694,0.236,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4/19/2020,0.36,1356,3765,0.231,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4/18/2020,0.335,1474,4397,0.205,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4/17/2020,0.237,1046,4418,0.175,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4/16/2020,0.18,699,3877,0.158,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4/15/2020,0.169,678,4007,0.151,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4/14/2020,0.155,560,3613,0.143,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4/13/2020,0.125,314,2502,0.14,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4/12/2020,0.166,374,2252,0.142,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4/11/2020,0.154,411,2673,0.138,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4/10/2020,0.142,432,3049,0.136,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4/9/2020,0.136,424,3111,0.135,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4/8/2020,0.126,392,3120,0.134,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4/7/2020,0.135,433,3215,0.141,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4/6/2020,0.146,370,2535,0.141,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4/5/2020,0.134,430,3216,0.138,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4/4/2020,0.137,410,2994,0.137,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4/3/2020,0.132,487,3696,0.134,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4/2/2020,0.133,552,4153,0.13,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4/1/2020,0.176,518,2945,0.122,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3/31/2020,0.14,381,2713,0.108,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3/30/2020,0.117,298,2543,0.101,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3/29/2020,0.124,273,2208,0.096,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3/28/2020,0.105,220,2101,0.089,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3/27/2020,0.105,334,3186,0.083,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3/26/2020,0.087,264,3027,0.073,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3/25/2020,0.073,145,1989,0.063,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3/24/2020,0.085,93,1092,0.057,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3/23/2020,0.072,52,721,0.05,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3/22/2020,0.075,130,1741,0.047,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3/21/2020,0.054,68,1259,0.04,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3/20/2020,0.044,56,1278,0.039,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3/19/2020,0.038,47,1228,0.038,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3/18/2020,0.041,69,1672,0.038,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3/17/2020,0.038,74,1940,0.037,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3/16/2020,0.038,69,1806,0.038,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3/15/2020,0.03,32,1064,0.041,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3/14/2020,0.043,19,443,0.049,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3/13/2020,0.029,12,410,0.052,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3/12/2020,0.069,12,174,0.073,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3/11/2020,0.031,4,128,0.075,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3/10/2020,0.123,10,81,0.112,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3/9/2020,0.14,6,43,0.097,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3/8/2020,0,0,11,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3/7/2020,0,0,2,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3/6/2020,0,0,1,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3/5/2020,0,0,2,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3/4/2020,0,0,3,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
